model_name,display_name,selection_score,accuracy,precision,recall,f1_score,roc_auc,pr_auc,use_smote,run_id,dataset,baseline_params
lightgbm,Lightgbm,0.8720268859572449,0.9930958996379557,0.8231392778187178,0.7698139214334941,0.7955840455840456,0.994722570171855,0.8720268859572449,True,09ea137bbd9a45ec9c5b1ce028f962b0,tree,"{'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary', 'random_state': 42, 'n_jobs': -1}"
xgboost,Xgboost,0.8650739441328633,0.992422328870927,0.7880701754385965,0.7739490006891798,0.7809457579972183,0.9943098620486103,0.8650739441328633,True,b3375e1bf2fa417484babe9b26719536,tree,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}"
catboost,Catboost,0.8645413861922611,0.9926749179085628,0.7998575498575499,0.7739490006891798,0.7866900175131348,0.9941455904130632,0.8645413861922611,True,a0e1803604484e568b9126fea16d5ded,tree,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.05, 'loss_function': 'Logloss', 'eval_metric': 'AUC', 'random_seed': 42, 'verbose': 0}"
logistic_regression,Logistic Regression,0.8274503774106694,0.9544858610279171,0.27131934914722605,0.9538249483115093,0.42246642246642246,0.9915860626784494,0.8274503774106694,True,bfa86d91b66e4fd6a0ca1a959116c8f3,log,"{'max_iter': 300, 'solver': 'liblinear', 'class_weight': 'balanced', 'random_state': 42}"
